time|deviceName|process|description|processName|timeWindow|numberOfOccurrence|processId
01:29:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12879+AF0-| Service exited with abnormal code: 78||||
01:29:50|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-| ASL Sender Statistics||||
01:33:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12898+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
01:33:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12898+AF0-| Service exited with abnormal code: 78||||
01:34:05|BBAOMACBOOKAIR2|com.apple.appkit.xpc.openAndSavePanelService+AFs-12900+AF0-| assertion failed: 19E287: libxpc.dylib  92807 +AFs-32B0E31E+AC0-9DA3+AC0-328B+AC0-A962+AC0-BC9591B93537+AF0- 0x89||||
01:34:05|BBAOMACBOOKAIR2|(com.getdropbox.dropbox.garcon.6A52B0EF+AC0-807F+AC0-4B43+AC0-AA0E+AC0-47536707E63B+AFs-12905+AF0-| Caller wanted oneshot behavior for pre+AC0-existing instance: caller +AD0- com.apple.appki||||
01:34:05|BBAOMACBOOKAIR2|(com.egnyte.Egnyte+AC0-Drive.FinderSyc.EgnyteFinderSync.DEE918BF+AC0-6BF1+AC0-4A89+AC0-823D+AC0-4A2DE9B465E7+AFs-12904+AF0-| Caller wanted oneshot behavior for pre+AC0-existing instance: caller +AD0- com.apple.appki||||
01:36:58|BBAOMACBOOKAIR2|(com.apple.xpc.launchd.domain.user.914945058|+ACI- Service +ACIAIg-com.apple.xpc.launchd.unmanaged.loginwindow.594+ACIAIg- tried to register for endpoint +ACIAIg-com.apple.tsm.uiserver+ACIAIg- already registered by owner: com.apple.TextInputMenuAgent+ACI-||||
01:37:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12945+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
01:37:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12945+AF0-| Service exited with abnormal code: 78||||
01:39:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12949+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
01:39:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12949+AF0-| Service exited with abnormal code: 78||||
01:39:50|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-| ASL Sender Statistics||||
01:41:58|BBAOMACBOOKAIR2|syncdefaultsd+AFs-12956+AF0-| objc+AFs-12956+AF0- Class SYDClient is implemented in both /System/Library/PrivateFrameworks/SyncedDefaults.framework/Versions/A/SyncedDefaults and /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd. One of the two will be used. Which one is undefined.||||
01:41:58|BBAOMACBOOKAIR2|syncdefaultsd+AFs-12956+AF0-| objc+AFs-12956+AF0- Class SYDJournal is implemented in both /System/Library/PrivateFrameworks/SyncedDefaults.framework/Versions/A/SyncedDefaults and /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd. One of the two will be used. Which one is undefined.||||
01:42:01|BBAOMACBOOKAIR2|timed+AFs-158+AF0-| settimeofday(+AHs-0x5ebadfe9,0xbe8cf+AH0-) +AD0APQ- 0||||
01:43:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12974+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
01:43:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12974+AF0-| Service exited with abnormal code: 78||||
01:47:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12975+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
